id,num_items,capacidad,num_variables_qubo,optimo,valor_total,peso,factible,coincide,ratio_optimo,brecha_optimo,exceso_peso,prob_optimo,ratio_optimo_medio,tiempo_total,t_solver,t_cuantico,t_clasico,pct_tiempo_solver_sobre_total,pct_tiempo_cuantico_sobre_solver,pct_tiempo_clasico_sobre_solver,tiempo_medio_iter,tiempo_por_eval,total_evals,num_factibles_qaoa,prob_optimo_muestras,prob_optimo_starts,tasa_factibilidad,ratio_medio_factibles,valor_medio_start,std_valor_start,tiempo_medio_start,total_muestras,starts,reads_por_start,muestras_esperadas,metodo,warmstart,epsilon_warmstart
4,3,3,5,5,5,3,True,True,1.0,0,0,0.9,0.9800000000000001,377.3285256999952,377.3262347999844,367.8497231998481,9.476511600136291,0.9999939286328628,0.9748850974935266,0.025114902506473382,0.12141942736000055,0.15032917721114916,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
5,3,5,6,22,22,5,True,True,1.0,0,0,0.9,0.9818181818181818,878.5057717000018,878.5034519999754,868.4294237007853,10.074028299190104,0.9999973594936981,0.9885327390845695,0.011467260915430514,0.27889785327999855,0.350001375298795,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
6,3,5,6,13,13,5,True,True,1.0,0,0,0.9,0.9615384615384615,929.0982951000042,929.0959529999527,918.8922901996411,10.203662800311577,0.9999974791687125,0.9890176436918436,0.01098235630815636,0.29592930311999516,0.37015775019918434,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
7,3,4,6,8,8,3,True,True,1.0,0,0,0.9,0.9875,882.6730938000255,882.6706491999794,872.5744717999769,10.096177400002489,0.9999972304581806,0.9885617841613367,0.011438215838663376,0.28164880655999297,0.3516616132270834,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
10,3,5,6,9,9,5,True,True,1.0,0,0,0.8,0.9333333333333332,916.2803759999806,916.2780216000101,906.103671900375,10.174349699635059,0.9999974304808527,0.9888960015849027,0.011103998415097361,0.293702731520019,0.36505100462151796,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
11,4,4,7,6,6,4,True,True,1.0,0,0,1.0,1.0,1563.7480579999974,1563.745549299987,1551.4899531001283,12.2555961998587,0.9999983957134286,0.9921626659750719,0.00783733402492812,0.4945014437599806,0.6230061949402339,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
12,3,7,6,12,12,7,True,True,1.0,0,0,0.9,0.9833333333333334,933.6497558999981,933.6473334999755,923.5495325005904,10.097800999385072,0.9999974054510191,0.9891845661235583,0.010815433876441674,0.29629405172000406,0.3719710492031775,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
13,4,5,7,7,7,5,True,True,1.0,0,0,0.9,0.9714285714285715,1792.9989583000133,1792.9964853999845,1780.9806318004557,12.015853599528782,0.999998620802306,0.9932984511138915,0.006701548886108534,0.5719940097599873,0.7143412292430217,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
14,2,3,4,6,6,3,True,True,1.0,0,0,0.9,0.9,221.37405820001732,221.37182860000758,210.33811550110113,11.033713098906446,0.9999899283591408,0.9501575554184762,0.049842444581523725,0.07113958268000278,0.08819594764940542,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
15,3,5,6,10,10,5,True,True,1.0,0,0,0.8,0.9199999999999999,923.330072199984,923.3277072999626,913.2061259987531,10.121581301209517,0.9999974387273928,0.9890379317969267,0.010962068203073327,0.2944528486399795,0.3678596443426146,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
17,3,3,5,6,6,3,True,True,1.0,0,0,1.0,1.0,378.3194749999966,378.3171630000288,368.8473178001004,9.469845199928386,0.999993888763015,0.9749685022883097,0.025031497711690297,0.12095105528000276,0.15072396932272064,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
19,3,5,6,8,8,5,True,True,1.0,0,0,0.9,0.9375,891.4477178000088,891.4453043999674,881.0607475998695,10.384556800097926,0.9999972927183578,0.9883508761010438,0.011649123898956178,0.2819844935599947,0.3551574917928157,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
20,4,6,7,11,11,6,True,True,1.0,0,0,1.0,1.0,1803.7031223999802,1803.7005884999817,1791.48952370006,12.211064799921587,0.9999985951679259,0.9932299934491474,0.006770006550852612,0.5750025611199904,0.7186058121513871,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa_warmstart,True,0.25
1,2,3,4,5,5,3,True,True,1.0,0,0,1.0,1.0,231.03993999998784,231.03791769995587,220.7876212996489,10.25029640030698,0.9999912469678102,0.9556337050543416,0.04436629494565834,0.07491759572001173,0.09204697916332903,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
2,2,4,5,7,7,4,True,True,1.0,0,0,0.9,0.9571428571428571,491.4771024999791,491.47488379999413,482.19045859965263,9.284425200341502,0.999995485649334,0.9811090545898175,0.01889094541018255,0.15722179436000297,0.19580672661354348,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
3,3,4,6,10,10,4,True,True,1.0,0,0,0.9,0.9800000000000001,984.087008499977,984.0846117000037,974.021363200387,10.063248499616748,0.9999975644430295,0.9897740007515893,0.010225999248410673,0.3158833506800118,0.3920655823505991,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
4,3,3,5,5,5,3,True,True,1.0,0,0,1.0,1.0,419.44918599998346,419.44687269994756,410.2091803000076,9.237692399939988,0.9999944849099411,0.9779764899891191,0.022023510010880914,0.1337419830400031,0.1671103078485847,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
5,3,5,6,22,22,5,True,True,1.0,0,0,0.7,0.9454545454545455,1016.7274498000043,1016.7251105999749,1006.8336693994643,9.891441200510599,0.9999976992850642,0.9902712728372828,0.009728727162717174,0.3251664874400012,0.40506976517927284,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
6,3,5,6,13,13,5,True,True,1.0,0,0,0.9,0.9615384615384615,1036.935401900002,1036.9329348000174,1026.7104313000746,10.222503499942832,0.9999976207775526,0.9901415962818132,0.00985840371818679,0.3301138779999921,0.4131206911553854,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
7,3,4,6,8,8,3,True,True,1.0,0,0,0.9,0.9875,968.0553890999872,968.0530352999631,957.8587605004432,10.194274799519917,0.9999975685275341,0.9894693013421924,0.010530698657807622,0.30775158175999534,0.3856785001195072,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
10,3,5,6,9,9,5,True,True,1.0,0,0,0.9,0.9666666666666668,1015.9675019000133,1015.9650721999642,1005.9361488001887,10.028923399775522,0.999997608486448,0.990128673047727,0.009871326952273031,0.3245218462000019,0.4047669610358423,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
11,4,4,7,6,6,4,True,True,1.0,0,0,0.9,0.9833333333333332,1981.8851105000067,1981.8825129999605,1970.4118085995433,11.470704400417162,0.9999986893791005,0.9942122177650914,0.005787782234908589,0.6364609722400201,0.7895946266932113,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
