id,num_items,capacidad,num_variables_qubo,optimo,metodo,valor_total,peso,factible,ratio_optimo,tiempo_total,prob_optimo_starts,prob_optimo_muestras,tasa_factibilidad,ratio_medio_factibles,starts,total_muestras,t_cuantico,t_clasico,tiempo_por_eval,total_evals,warmstart,epsilon_warmstart,sqa_beta,sqa_gamma,sqa_trotter,sqa_num_sweeps
404,4,8,8,21,qaoa,21,8,True,1.0,5682.556783700013,0.6,N/A,1.0,0.9333333333333333,10,N/A,5668.1591805997305,14.394778500369284,2.2639653623506217,2510,N/A,N/A,N/A,N/A,N/A,N/A
201,2,5,5,9,sa,9,5,True,1.0,0.019059100013691932,1.0,0.25,1.0,0.5277777777777778,10,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
202,2,6,5,11,sa,11,6,True,1.0,0.016549799998756498,1.0,0.47,1.0,0.6536363636363637,10,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
203,2,5,5,8,sa,8,5,True,1.0,0.016405100002884865,1.0,0.38,1.0,0.485,10,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
204,2,4,5,6,sa,6,4,True,1.0,0.01631710003130138,1.0,0.47,0.96,0.4895833333333333,10,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
301,3,5,6,9,sa,9,5,True,1.0,0.019503600022289902,0.8,0.19,1.0,0.6444444444444445,10,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
302,3,5,6,9,sa,9,5,True,1.0,0.018758999998681247,1.0,0.27,1.0,0.6666666666666666,10,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
303,3,5,6,11,sa,11,5,True,1.0,0.02100319997407496,1.0,0.31,1.0,0.6263636363636363,10,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
304,3,4,6,7,sa,7,4,True,1.0,0.020943399984389544,0.9,0.23,0.98,0.7346938775510203,10,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
401,4,9,8,21,sa,21,9,True,1.0,0.024151199962943792,0.5,0.07,0.97,0.5360824742268041,10,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
402,4,8,8,21,sa,21,8,True,1.0,0.023831100028473884,0.8,0.09,0.99,0.6464646464646464,10,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
403,4,7,7,20,sa,20,7,True,1.0,0.021315400023013353,0.7,0.17,1.0,0.6795,10,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
404,4,8,8,21,sa,21,8,True,1.0,0.023542599985376,0.8,0.16,0.99,0.6108706108706109,10,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201,2,5,5,9,qaoa_warmstart,9,5,True,1.0,442.61800440005027,1.0,N/A,1.0,1.0,10,N/A,433.17922070156783,9.436531098501291,0.17634070649403574,2510,True,0.25,N/A,N/A,N/A,N/A
202,2,6,5,11,qaoa_warmstart,11,6,True,1.0,395.5601973999874,0.9,N/A,1.0,0.9636363636363636,10,N/A,386.3200869007269,9.237807099241763,0.15759251932270335,2510,True,0.25,N/A,N/A,N/A,N/A
203,2,5,5,8,qaoa_warmstart,8,5,True,1.0,411.819721100037,0.9,N/A,1.0,0.9375,10,N/A,402.4094293995877,9.408103700552601,0.16407052653392246,2510,True,0.25,N/A,N/A,N/A,N/A
204,2,4,5,6,qaoa_warmstart,6,4,True,1.0,464.6696585000027,1.0,N/A,1.0,1.0,10,N/A,455.36758069955977,9.299836200487334,0.185126201474118,2510,True,0.25,N/A,N/A,N/A,N/A
301,3,5,6,9,qaoa_warmstart,9,5,True,1.0,933.5417904999922,0.5,N/A,1.0,0.9444444444444446,10,N/A,923.8153044012724,9.72413529874757,0.371927752868533,2510,True,0.25,N/A,N/A,N/A,N/A
302,3,5,6,9,qaoa_warmstart,9,5,True,1.0,863.8157502999529,0.8,N/A,1.0,0.9666666666666666,10,N/A,854.0241629001102,9.789111399906687,0.34414842513946914,2510,True,0.25,N/A,N/A,N/A,N/A
303,3,5,6,11,qaoa_warmstart,11,5,True,1.0,945.3511139000184,0.9,N/A,1.0,0.990909090909091,10,N/A,935.636770601559,9.711954698432237,0.3766327249402212,2510,True,0.25,N/A,N/A,N/A,N/A
304,3,4,6,7,qaoa_warmstart,7,4,True,1.0,807.4038564999937,0.9,N/A,1.0,0.9857142857142858,10,N/A,797.5874262008583,9.814043099118862,0.3216735400796814,2510,True,0.25,N/A,N/A,N/A,N/A
