id,num_filas,num_columnas,tamano_matriz,num_variables_qubo,optimo,coste_total,violacion,factible,coincide,ratio_optimo,brecha_optimo,desviacion_relativa_optimo,prob_optimo,ratio_optimo_medio,tiempo_total,t_solver,t_cuantico,t_clasico,pct_tiempo_solver_sobre_total,pct_tiempo_cuantico_sobre_solver,pct_tiempo_clasico_sobre_solver,tiempo_medio_iter,tiempo_por_eval,total_evals,num_factibles_qaoa,prob_optimo_muestras,prob_optimo_starts,tasa_factibilidad,ratio_medio_factibles,coste_medio_start,std_coste_start,tiempo_medio_start,total_muestras,starts,reads_por_start,muestras_esperadas,penalizacion,metodo,warmstart,epsilon_warmstart
201,2,2,2x2,5,9,9,0,True,True,1.0,0,0.0,0.8,0.9111111111111112,436.2138796999934,436.21171590016456,426.7257893991191,9.48592650104547,0.999995039589684,0.9782538474890105,0.0217461525109896,0.1389324126800056,0.1737893061355253,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
202,2,2,2x2,5,11,11,0,True,True,1.0,0,0.0,1.0,1.0,386.3198295999901,386.3176477000234,377.0347394996206,9.282908200402744,0.9999943520891252,0.9759707891791396,0.0240292108208604,0.1234241089599672,0.1539111556573882,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
203,2,2,2x2,5,8,8,0,True,True,1.0,0,0.0,0.7,0.8125,413.0036687999964,413.00144770002225,403.6093222005875,9.39212549943477,0.9999946220817346,0.9772588557455696,0.0227411442544303,0.1319268903600284,0.1645421261354664,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
204,2,2,2x2,5,6,6,0,True,True,1.0,0,0.0,1.0,1.0,471.0047305999906,471.0022344000172,461.6840283985366,9.318206001480576,0.9999947002656,0.9802162169923664,0.0197837830076337,0.1500431536800228,0.1876500527490166,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
301,3,3,3x3,6,9,9,0,True,True,1.0,0,0.0,0.8,0.977777777777778,906.0691477000364,906.0668557001044,896.2668843986467,9.799971301457845,0.9999974703918152,0.9891840527662988,0.0108159472337011,0.2897105666799936,0.3609824868526209,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
302,3,3,3x3,6,9,9,0,True,True,1.0,0,0.0,0.7,0.9444444444444446,871.0455317999586,871.0431413999759,861.2563839997747,9.786757400201168,0.9999972557117908,0.9887643252841972,0.0112356747158028,0.2786608906400157,0.3470288278486076,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
303,3,3,3x3,6,11,11,0,True,True,1.0,0,0.0,1.0,1.0,954.4066226999856,954.404304100084,944.7554320001508,9.648872099933214,0.9999975706372456,0.9898901628392892,0.0101098371607106,0.305736462279968,0.3802404395617921,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
304,3,3,3x3,6,7,7,0,True,True,1.0,0,0.0,0.8,0.9714285714285716,820.8595110999886,820.8571998999687,811.1593917004066,9.697808199562132,0.9999971844146428,0.9881857548417144,0.0118142451582856,0.2622564419200178,0.3270344199203196,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
401,4,4,4x4,8,21,21,0,True,True,1.0,0,0.0,0.9,0.9952380952380953,4548.952771899989,4548.950176600134,4535.437533999851,13.51264260028256,0.999999429473115,0.997029503055498,0.002970496944502,1.4542919114399937,1.8123304058167808,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
402,4,4,4x4,8,21,21,0,True,True,1.0,0,0.0,0.3,0.8904761904761903,4586.9031838999945,4586.900454399933,4573.454047699401,13.446406700531952,0.999999404936195,0.997068520053093,0.0029314799469069,1.4658495024400064,1.8274499761354384,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
